Yext ID,Name,National Provider Identifier (NPI),Categories 1,Categories 2,Categories 3,Categories 4,Categories 5,Categories 6,Categories 7,Categories 8,Categories 9,Categories 10,Categories 11,Address > Line 1,Address > Line 2,Address > Sublocality,Address > City,Address > Region,Address > Postal Code,Address > Extra Description,Main Phone > ISO Country Code,Main Phone > Phone Number,Featured Message > Description,Featured Message > URL,Entity ID
10806084,Conviva Care Center Plaza Linda,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Gastroenterology,Gynecology,Neurology,Ophthalmology,10401 SW 40th Street,,,Miami,FL,33165,,US,3052222000,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,359
10806085,Conviva Care Center Miami Lakes,,Cardiology,,,,,,,,,,,5801 Miami Lakes Drive East,,,Miami,FL,33014,,US,3058219115,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,484
10806086,Conviva Care Center East Hialeah,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Otolaryngology,Gastroenterology,Gynecology,Neurology,522 E 25 Street,,,Hialeah,FL,33013,,US,3056912000,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,362
10806087,Conviva Care Center Sable Palm,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Pediatrician,,,,,,,5385 NE 2nd Avenue,,,Miami,FL,33137,,US,3057569977,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,361
10806088,Conviva Care Center NW 183rd,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,641 NW 183rd Street,,,Miami Gardens,FL,33169,,US,3056549009,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,360
10806089,Conviva Care Center North Homestead,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Endocrinology,Gastroenterology,Gynecology,Neurology,Optometry,Podiatry,650 N Homestead Blvd,,,Homestead,FL,33030,,US,7862435900,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,363
10806090,CAC Florida Medical Centers Kissimmee,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Gastroenterology,Gynecology,Podiatry,,,,,3185 W Vine Street,,,Kissimmee,FL,34741,,US,4075691260,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,365
10806091,Conviva Care Center West Kendall Drive,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Gastroenterology,Gynecology,Neurology,Ophthalmology,15516 SW 88 Street,,,Miami,FL,33196,,US,3053873300,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,364
10806093,Conviva Care Center Liberty City,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Gynecology,Podiatry,,,,,6269 NW 7th Ave,,,Miami,FL,33150,,US,3057512000,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,367
10806094,Conviva Care Center Little Havana,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Gastroenterology,Gynecology,Neurology,Orthopedics,1200 SW 1 St,,,Miami,FL,33135,,US,3059612000,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,368
10806095,Conviva Care Center North Miami Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Gastroenterology,Surgery,Gynecology,Neurology,1648 N.E. 163 Street,,,North Miami Beach,FL,33162,,US,3059492000,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,369
10806096,CAC Florida Medical Centers Pine Hills,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Gastroenterology,Gynecology,Podiatry,,,,5235 W Colonial Dr.,,,Orlando,FL,32808,,US,4075225480,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,370
10806097,CAC Florida Medical Centers Seminole Heights,,Gastroenterology,Podiatry,,,,,,,,,,8326 N. Florida Ave,,,Tampa,FL,33604,,US,8134962370,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,371
10806098,CAC Florida Medical Centers Semoran,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Gastroenterology,Podiatry,,,,,737 S. Semoran Blvd.,,,Olrando,FL,32807,,US,3212474960,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,372
10806099,Conviva Care Center Quail Roost,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Pediatrician,Cardiology,Nutritionist,Endocrinology,Gastroenterology,Gynecology,Neurology,18623 S. Dixie Hwy,,,Miami,FL,33157,,US,3052389111,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,373
10806100,Conviva Care Center West Hialeah,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Otolaryngology,Gastroenterology,Gynecology,Neurology,4410 West 16th  Avenue,Suite 33,,Hialeah,FL,33012,,US,3058272002,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,374
10806101,Conviva Care Center West Hillsborough,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4340 West Hillsborough Ave.,Suite 210,,Tampa,FL,33614,,US,8134258970,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,375
10806102,Conviva Care Center Coral Way,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Gastroenterology,Gynecology,Neurology,Orthopedics,8686 Coral Way,,,Miami,FL,33155,,US,3052692550,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,376
10806103,Conviva Care Center Westland,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Otolaryngology,Gastroenterology,Gynecology,Neurology,975 West 49th Street,,,Hialeah,FL,33012,,US,3058196300,Who Knew Primary Care Could Do So Much?,https://www.cacmedicalcenters.com/,377
10806104,Conviva Care Center Cutler Ridge,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Gynecology,Nutritionist,Ophthalmology,Optometry,Podiatry,,,11000 SW 211 Street,,,Cutler Bay,FL,33189,,US,3052541500,A Primary Care Team Built For Speed,https://www.continucare.com/,378
10806105,Conviva Care Center Davie,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4801 S University Drive,Suite 110,,Davie,FL,33328,,US,9544348588,Helping You Live Your Best Life,https://www.convivacarecenters.com/,379
